"","Hub","ID","Animal.Sex","Animal.Length..m.","Date","Date.Time"
"2246","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 00:12:00"
"2247","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 00:13:00"
"2248","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 00:13:00"
"2249","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 00:14:00"
"2250","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 00:14:00"
"2251","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 00:14:00"
"2252","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 00:15:00"
"2253","aquaHub-660298","9001-52036","Male",161,2025-09-16,"2025-09-16 00:15:00"
"2254","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 00:15:00"
"2255","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 00:16:00"
"2256","aquaHub-660110","9001-52040","Male",164,2025-09-16,"2025-09-16 00:16:00"
"2257","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 00:17:00"
"2258","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 00:17:00"
"2259","aquaHub-660298","9001-26756","Male",1.6,2025-09-16,"2025-09-16 00:17:00"
"2260","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 00:17:00"
"2261","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 00:18:00"
"2262","aquaHub-660298","9001-52036","Male",161,2025-09-16,"2025-09-16 00:18:00"
"2263","aquaHub-660110","9001-52040","Male",164,2025-09-16,"2025-09-16 00:18:00"
"2264","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 00:19:00"
"2265","aquaHub-660110","9001-52040","Male",164,2025-09-16,"2025-09-16 00:20:00"
"2266","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 00:20:00"
"2267","aquaHub-660110","9001-52040","Male",164,2025-09-16,"2025-09-16 00:21:00"
"2268","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 00:24:00"
"2269","aquaHub-660110","9001-52040","Male",164,2025-09-16,"2025-09-16 00:25:00"
"2270","aquaHub-660298","9001-52036","Male",161,2025-09-16,"2025-09-16 00:25:00"
"2271","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 00:25:00"
"2272","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 00:26:00"
"2273","aquaHub-660298","9001-52036","Male",161,2025-09-16,"2025-09-16 00:27:00"
"2274","aquaHub-660110","9001-52040","Male",164,2025-09-16,"2025-09-16 00:27:00"
"2275","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 00:28:00"
"2276","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 00:28:00"
"2277","aquaHub-660110","9001-52040","Male",164,2025-09-16,"2025-09-16 00:29:00"
"2278","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 00:30:00"
"2279","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 00:31:00"
"2280","aquaHub-660110","9001-52040","Male",164,2025-09-16,"2025-09-16 00:32:00"
"2281","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 00:32:00"
"2282","aquaHub-660110","9001-52040","Male",164,2025-09-16,"2025-09-16 00:34:00"
"2283","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 00:34:00"
"2284","aquaHub-660110","9001-52040","Male",164,2025-09-16,"2025-09-16 00:36:00"
"2285","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 00:37:00"
"2286","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 00:39:00"
"2287","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 00:40:00"
"2288","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 00:42:00"
"2289","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 00:44:00"
"2290","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 00:46:00"
"2291","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 00:49:00"
"2292","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 00:50:00"
"2293","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 00:51:00"
"2294","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 00:52:00"
"2295","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 00:53:00"
"2296","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 00:54:00"
"2297","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 00:55:00"
"2298","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 00:56:00"
"2299","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 00:57:00"
"2300","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 00:57:00"
"2301","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 01:01:00"
"2302","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:01:00"
"2303","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 01:03:00"
"2304","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:03:00"
"2305","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 01:05:00"
"2306","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:05:00"
"2307","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 01:05:00"
"2308","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 01:07:00"
"2309","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:07:00"
"2310","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 01:10:00"
"2311","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:11:00"
"2312","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 01:11:00"
"2313","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:12:00"
"2314","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 01:14:00"
"2315","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:14:00"
"2316","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 01:17:00"
"2317","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:19:00"
"2318","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 01:19:00"
"2319","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 01:19:00"
"2320","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 01:21:00"
"2321","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:22:00"
"2322","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 01:22:00"
"2323","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 01:22:00"
"2324","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 01:23:00"
"2325","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 01:25:00"
"2326","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:25:00"
"2327","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 01:26:00"
"2328","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 01:27:00"
"2329","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 01:27:00"
"2330","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:28:00"
"2331","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 01:29:00"
"2332","aquaHub-660141","9001-52029","Male",1.5,2025-09-16,"2025-09-16 01:29:00"
"2333","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 01:30:00"
"2334","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:30:00"
"2335","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 01:31:00"
"2336","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 01:31:00"
"2337","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 01:32:00"
"2338","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 01:33:00"
"2339","aquaHub-660141","9001-52029","Male",1.5,2025-09-16,"2025-09-16 01:34:00"
"2340","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 01:34:00"
"2341","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:35:00"
"2342","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 01:35:00"
"2343","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:38:00"
"2344","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 01:38:00"
"2345","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 01:39:00"
"2346","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:40:00"
"2347","aquaHub-660298","9001-52036","Male",161,2025-09-16,"2025-09-16 01:40:00"
"2348","aquaHub-660141","9001-52029","Male",1.5,2025-09-16,"2025-09-16 01:41:00"
"2349","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 01:41:00"
"2350","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 01:41:00"
"2351","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 01:42:00"
"2352","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:42:00"
"2353","aquaHub-660298","9001-52036","Male",161,2025-09-16,"2025-09-16 01:42:00"
"2354","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 01:42:00"
"2355","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 01:43:00"
"2356","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:44:00"
"2357","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 01:44:00"
"2358","aquaHub-660298","9001-52036","Male",161,2025-09-16,"2025-09-16 01:45:00"
"2359","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 01:45:00"
"2360","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 01:45:00"
"2361","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:46:00"
"2362","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 01:47:00"
"2363","aquaHub-660298","9001-52036","Male",161,2025-09-16,"2025-09-16 01:47:00"
"2364","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 01:47:00"
"2365","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:48:00"
"2366","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 01:48:00"
"2367","aquaHub-660298","9001-52036","Male",161,2025-09-16,"2025-09-16 01:48:00"
"2368","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 01:49:00"
"2369","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:49:00"
"2370","aquaHub-660298","9001-52036","Male",161,2025-09-16,"2025-09-16 01:50:00"
"2371","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:51:00"
"2372","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 01:51:00"
"2373","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 01:51:00"
"2374","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 01:52:00"
"2375","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 01:52:00"
"2376","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 01:52:00"
"2377","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:53:00"
"2378","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 01:54:00"
"2379","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 01:54:00"
"2380","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 01:55:00"
"2381","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 01:55:00"
"2382","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 01:56:00"
"2383","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:56:00"
"2384","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 01:56:00"
"2385","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 01:57:00"
"2386","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 01:57:00"
"2387","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 01:57:00"
"2388","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 01:58:00"
"2389","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 01:58:00"
"2390","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 01:59:00"
"2391","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 02:00:00"
"2392","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 02:03:00"
"2393","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:04:00"
"2394","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 02:04:00"
"2395","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 02:05:00"
"2396","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:06:00"
"2397","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 02:06:00"
"2398","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 02:06:00"
"2399","aquaHub-660141","9001-52029","Male",1.5,2025-09-16,"2025-09-16 02:07:00"
"2400","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:07:00"
"2401","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 02:08:00"
"2402","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 02:08:00"
"2403","aquaHub-660110","9001-47193","Male",159,2025-09-16,"2025-09-16 02:08:00"
"2404","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:09:00"
"2405","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 02:10:00"
"2406","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:12:00"
"2407","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 02:12:00"
"2408","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 02:14:00"
"2409","aquaHub-660141","9001-52029","Male",1.5,2025-09-16,"2025-09-16 02:14:00"
"2410","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 02:14:00"
"2411","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:14:00"
"2412","aquaHub-660298","9001-26747","Male",1.4,2025-09-16,"2025-09-16 02:15:00"
"2413","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:16:00"
"2414","aquaHub-660298","9001-26756","Male",1.6,2025-09-16,"2025-09-16 02:16:00"
"2415","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:18:00"
"2416","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:19:00"
"2417","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:21:00"
"2418","aquaHub-660298","9001-26756","Male",1.6,2025-09-16,"2025-09-16 02:22:00"
"2419","aquaHub-660298","9001-26756","Male",1.6,2025-09-16,"2025-09-16 02:25:00"
"2420","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:26:00"
"2421","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 02:26:00"
"2422","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 02:27:00"
"2423","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 02:28:00"
"2424","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:28:00"
"2425","aquaHub-660298","9001-26756","Male",1.6,2025-09-16,"2025-09-16 02:29:00"
"2426","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 02:29:00"
"2427","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 02:29:00"
"2428","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:30:00"
"2429","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 02:30:00"
"2430","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 02:31:00"
"2431","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:32:00"
"2432","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 02:33:00"
"2433","aquaHub-660143","9001-52022","Male",1.6,2025-09-16,"2025-09-16 02:33:00"
"2434","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 02:34:00"
"2435","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 02:35:00"
"2436","aquaHub-660143","9001-52022","Male",1.6,2025-09-16,"2025-09-16 02:35:00"
"2437","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:35:00"
"2438","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 02:35:00"
"2439","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 02:37:00"
"2440","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:37:00"
"2441","aquaHub-660298","9001-26756","Male",1.6,2025-09-16,"2025-09-16 02:37:00"
"2442","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 02:38:00"
"2443","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:39:00"
"2444","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 02:39:00"
"2445","aquaHub-660141","9001-52029","Male",1.5,2025-09-16,"2025-09-16 02:39:00"
"2446","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 02:40:00"
"2447","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 02:40:00"
"2448","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 02:41:00"
"2449","aquaHub-660141","9001-52029","Male",1.5,2025-09-16,"2025-09-16 02:41:00"
"2450","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:41:00"
"2451","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 02:42:00"
"2452","aquaHub-660141","9001-52029","Male",1.5,2025-09-16,"2025-09-16 02:43:00"
"2453","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 02:43:00"
"2454","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:43:00"
"2455","aquaHub-660141","9001-52029","Male",1.5,2025-09-16,"2025-09-16 02:45:00"
"2456","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 02:45:00"
"2457","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:46:00"
"2458","aquaHub-660143","9001-52022","Male",1.6,2025-09-16,"2025-09-16 02:47:00"
"2459","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 02:47:00"
"2460","aquaHub-660141","9001-52029","Male",1.5,2025-09-16,"2025-09-16 02:47:00"
"2461","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 02:47:00"
"2462","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:48:00"
"2463","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 02:49:00"
"2464","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:50:00"
"2465","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 02:50:00"
"2466","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 02:51:00"
"2467","aquaHub-660143","9001-52022","Male",1.6,2025-09-16,"2025-09-16 02:51:00"
"2468","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:51:00"
"2469","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 02:52:00"
"2470","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 02:52:00"
"2471","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:54:00"
"2472","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 02:54:00"
"2473","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 02:54:00"
"2474","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 02:56:00"
"2475","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 02:56:00"
"2476","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:56:00"
"2477","aquaHub-660143","9001-52022","Male",1.6,2025-09-16,"2025-09-16 02:56:00"
"2478","aquaHub-660141","9001-52029","Male",1.5,2025-09-16,"2025-09-16 02:57:00"
"2479","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 02:58:00"
"2480","aquaHub-660141","9001-52029","Male",1.5,2025-09-16,"2025-09-16 02:59:00"
"2481","aquaHub-660143","9001-52022","Male",1.6,2025-09-16,"2025-09-16 02:59:00"
"2482","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 02:59:00"
"2483","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 03:00:00"
"2484","aquaHub-660141","9001-52029","Male",1.5,2025-09-16,"2025-09-16 03:00:00"
"2485","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 03:00:00"
"2486","aquaHub-660143","9001-52022","Male",1.6,2025-09-16,"2025-09-16 03:01:00"
"2487","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 03:01:00"
"2488","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 03:02:00"
"2489","aquaHub-660141","9001-52029","Male",1.5,2025-09-16,"2025-09-16 03:02:00"
"2490","aquaHub-660143","9001-52022","Male",1.6,2025-09-16,"2025-09-16 03:02:00"
"2491","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 03:03:00"
"2492","aquaHub-660141","9001-52029","Male",1.5,2025-09-16,"2025-09-16 03:04:00"
"2493","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 03:04:00"
"2494","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 03:04:00"
"2495","aquaHub-660143","9001-52022","Male",1.6,2025-09-16,"2025-09-16 03:04:00"
"2496","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 03:06:00"
"2497","aquaHub-660141","9001-52029","Male",1.5,2025-09-16,"2025-09-16 03:06:00"
"2498","aquaHub-660143","9001-52022","Male",1.6,2025-09-16,"2025-09-16 03:06:00"
"2499","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 03:06:00"
"2500","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 03:06:00"
"2501","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 03:08:00"
"2502","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 03:08:00"
"2503","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 03:09:00"
"2504","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 03:09:00"
"2505","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 03:09:00"
"2506","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 03:10:00"
"2507","aquaHub-660298","9001-26747","Male",1.4,2025-09-16,"2025-09-16 03:10:00"
"2508","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 03:10:00"
"2509","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 03:11:00"
"2510","aquaHub-660141","9001-52029","Male",1.5,2025-09-16,"2025-09-16 03:11:00"
"2511","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 03:12:00"
"2512","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 03:12:00"
"2513","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 03:13:00"
"2514","aquaHub-660141","9001-52029","Male",1.5,2025-09-16,"2025-09-16 03:13:00"
"2515","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 03:13:00"
"2516","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 03:14:00"
"2517","aquaHub-660298","9001-52036","Male",161,2025-09-16,"2025-09-16 03:14:00"
"2518","aquaHub-660298","9001-26756","Male",1.6,2025-09-16,"2025-09-16 03:14:00"
"2519","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 03:15:00"
"2520","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 03:16:00"
"2521","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 03:16:00"
"2522","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 03:16:00"
"2523","aquaHub-660298","9001-52036","Male",161,2025-09-16,"2025-09-16 03:17:00"
"2524","aquaHub-660298","9001-26756","Male",1.6,2025-09-16,"2025-09-16 03:17:00"
"2525","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 03:17:00"
"2526","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 03:18:00"
"2527","aquaHub-660141","9001-52029","Male",1.5,2025-09-16,"2025-09-16 03:18:00"
"2528","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 03:18:00"
"2529","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 03:19:00"
"2530","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 03:20:00"
"2531","aquaHub-660141","9001-52029","Male",1.5,2025-09-16,"2025-09-16 03:20:00"
"2532","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 03:21:00"
"2533","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 03:21:00"
"2534","aquaHub-660298","9001-26756","Male",1.6,2025-09-16,"2025-09-16 03:21:00"
"2535","aquaHub-660298","9001-52017","Male",1.6,2025-09-16,"2025-09-16 03:22:00"
"2536","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 03:22:00"
"2537","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 03:23:00"
"2538","aquaHub-660141","9001-52029","Male",1.5,2025-09-16,"2025-09-16 03:23:00"
"2539","aquaHub-660298","9001-52031","Male",1.6,2025-09-16,"2025-09-16 03:23:00"
"2540","aquaHub-660110","9001-43148","Male",162,2025-09-16,"2025-09-16 03:23:00"
"2541","aquaHub-660298","9001-43149","Male",165,2025-09-16,"2025-09-16 03:24:00"
"2542","aquaHub-660298","9001-52039","Male",170,2025-09-16,"2025-09-16 03:25:00"
"2543","aquaHub-660143","9001-52022","Male",1.6,2025-09-16,"2025-09-16 03:26:00"
